runNum,gaVal,tNum,tType,rt,kp,kpAcc,ret,retAcc
Run2,0.9275145792648927,26,nonlure,0.57,j,1,CUE2-0,1
Run2,0.9275145792648927,27,target,0.671,f,1,CUE2-0,1
Run2,0.9275145792648927,28,nonlure,0.628,j,1,CUE2-0,1
Run2,0.9275145792648927,29,lure,0.588,j,1,CUE2-0,1
Run2,0.9275145792648927,30,lure,0.502,j,1,CUE2-0,1
Run2,0.9275145792648927,31,nonlure,0.499,j,1,CUE3-0,1
Run2,0.9275145792648927,32,nonlure,0.631,j,1,CUE3-0,1
Run2,0.9275145792648927,33,lure,0.767,j,1,CUE3-0,1
Run2,0.9275145792648927,34,nonlure,0.379,j,1,CUE3-0,1
Run2,0.9275145792648927,35,nonlure,0.45,j,1,CUE3-0,1
Run2,0.9275145792648927,36,nonlure,0.673,j,1,CUE3-0,1
Run2,0.9275145792648927,37,lure,0.553,j,1,CUE3-0,1
Run2,0.9275145792648927,38,target,0.684,f,1,CUE3-0,1
Run2,0.9275145792648927,39,lure,0.609,j,1,CUE3-0,1
Run2,0.9275145792648927,40,target,0.533,f,1,CUE3-0,1
Run2,0.9275145792648927,41,nonlure,0.766,j,1,CUE4-0,1
Run2,0.9275145792648927,42,nonlure,0.71,j,1,CUE4-0,1
Run2,0.9275145792648927,43,nonlure,0.63,j,1,CUE4-0,1
Run2,0.9275145792648927,44,lure,0.65,j,1,STIMULUS42-0,0
Run2,0.9275145792648927,45,target,0.71,f,1,CUE4-0,1
Run2,0.9275145792648927,46,lure,0.61,j,1,CUE4-0,1
Run2,0.9275145792648927,47,nonlure,0.54,j,1,CUE4-0,1
Run2,0.9275145792648927,48,target,0.48,j,0,STIMULUS46-0,0
Run2,0.9275145792648927,49,nonlure,0.57,j,1,CUE4-0,1
Run2,0.9275145792648927,50,lure,0.46,j,1,CUE4-0,1
Run2,0.9275145792648927,51,target,0.78,f,1,CUE5-0,1
Run2,0.9275145792648927,52,nonlure,0.89,j,1,CUE5-0,1
Run2,0.9275145792648927,53,target,0.74,f,1,CUE5-0,1
Run2,0.9275145792648927,54,nonlure,0.77,j,1,CUE5-0,1
Run2,0.9275145792648927,55,nonlure,0.84,j,1,CUE5-0,1
Run2,0.9275145792648927,56,lure,0.57,j,1,CUE5-0,1
Run2,0.9275145792648927,57,nonlure,0.516,j,1,CUE5-0,1
Run2,0.9275145792648927,58,lure,0.77,f,0,STIMULUS56-0,0
Run2,0.9275145792648927,59,nonlure,0.664,j,1,CUE5-0,1
Run2,0.9275145792648927,60,lure,0.47,j,1,CUE5-0,1
Run2,0.9275145792648927,61,nonlure,0.445,j,1,CUE6-0,1
Run2,0.9275145792648927,62,nonlure,0.46,j,1,CUE6-0,1
Run2,0.9275145792648927,63,target,0.695,f,1,CUE6-0,1
Run2,0.9275145792648927,64,lure,0.62,j,1,CUE6-0,1
Run2,0.9275145792648927,65,target,0.66,f,1,CUE6-0,1
Run2,0.9275145792648927,66,nonlure,0.77,j,1,CUE6-0,1
Run2,0.9275145792648927,67,lure,0.42,j,1,CUE6-0,1
Run2,0.9275145792648927,68,nonlure,0.51,j,1,CUE6-0,1
Run2,0.9275145792648927,69,lure,0.46,j,1,CUE6-0,1
Run2,0.9275145792648927,70,nonlure,0.625,j,1,CUE6-0,1
Run2,0.9275145792648927,71,nonlure,0.55,j,1,CUE7-0,1
Run2,0.9275145792648927,72,nonlure,0.6,j,1,CUE7-0,1
Run2,0.9275145792648927,73,lure,0.54,j,1,CUE7-0,1
Run2,0.9275145792648927,74,nonlure,0.7,j,1,STIMULUS70-0,0
Run2,0.9275145792648927,75,lure,0.766,j,1,CUE7-0,1
Run2,0.9275145792648927,76,target,0.68,f,1,CUE7-0,1
Run2,0.9275145792648927,77,target,0.49,f,1,CUE7-0,1
Run2,0.9275145792648927,78,nonlure,0.62,j,1,CUE7-0,1
Run2,0.9275145792648927,79,nonlure,0.65,j,1,CUE7-0,1
Run2,0.9275145792648927,80,lure,0.61,j,1,CUE7-0,1
Run3,0.8933181395684433,1,nonlure,0.812,j,1,CUE0-0,1
Run3,0.8933181395684433,2,target,0.807,f,1,CUE0-0,1
Run3,0.8933181395684433,3,nonlure,0.683,j,1,CUE0-0,1
Run3,0.8933181395684433,4,nonlure,0.655,j,1,CUE0-0,1
Run3,0.8933181395684433,5,lure,0.556,j,1,CUE0-0,1
Run3,0.8933181395684433,6,target,0.741,f,1,CUE0-0,1
Run3,0.8933181395684433,7,nonlure,0.678,j,1,CUE0-0,1
Run3,0.8933181395684433,8,lure,0.483,j,1,CUE0-0,1
Run3,0.8933181395684433,9,lure,0.493,j,1,CUE0-0,1
Run3,0.8933181395684433,10,nonlure,0.629,j,1,CUE0-0,1
Run3,0.8933181395684433,11,target,0.609,f,1,CUE1-0,1
Run3,0.8933181395684433,12,nonlure,1.157,j,1,STIMULUS10-0,0
Run3,0.8933181395684433,13,nonlure,0.931,j,1,CUE0-0,0
Run3,0.8933181395684433,14,nonlure,0.797,j,1,STIMULUS11-0,0
Run3,0.8933181395684433,15,lure,0.821,j,1,STIMULUS12-0,0
